No,E.Coli,Coliform,Arsen (As),Total Kromium (Cr-T),Kadmium (Cd),Nitrit (NO2-N),Nitrat (NO3-N),Selenium (Se),Alumunium (Al),pH,Sulfat (SO4),Tembaga (Cu),Padatan Terlarut Total (TDS),Kekeruhan,Kelayakan
5289,"0,00","0,000","0,002","0,04","0,001","1,76","49,53","0,006","0,195","7,008","3,540","1,60458191","192,578","2,07",1
5290,"0,00","0,000","0,006","0,03","0,001","2,08","24,33","0,006","0,195","8,004","14,583","1,273255276","78,728","4,51",1
5291,"0,00","0,000","0,001","0,02","0,001","1,35","34,94","0,009","0,024","6,752","18,745","1,768359805","169,230","3,89",1
5292,"0,00","0,000","0,004","0,05","0,002","1,30","35,78","0,007","0,042","7,368","12,507","1,07288595","196,542","1,26",1
5293,"0,58","0,580","0,310","0,65","0,110","1,52","9,44","0,030","0,020","5,940","293,656","1,51","440,952","4,60",2
5294,"0,96","0,960","0,140","0,20","0,020","1,79","12,09","0,030","0,120","6,761","260,261","1,06","517,490","3,78",2
5295,"0,37","0,370","0,020","0,09","0,001","1,04","17,60","0,060","1,370","9,850","372,537","0,99","274,765","3,71",2
5296,"0,00","0,000","0,008","0,02","0,001","2,70","34,24","0,003","0,152","6,696","38,256","1,047427253","55,742","0,88",1
5297,"0,00","0,000","0,005","0,02","0,002","2,04","10,21","0,001","0,032","7,991","21,648","0,09610891939","164,229","4,41",1
5298,"0,00","0,000","0,007","0,04","0,001","2,42","45,86","0,005","0,164","7,366","12,444","0,3926235381","273,186","0,15",1
5299,"0,00","0,000","0,006","0,02","0,002","1,79","36,09","0,010","0,160","8,240","21,936","1,105875117","145,254","2,85",1
5300,"0,45","0,450","0,080","0,02","0,010","1,00","12,69","0,030","0,090","9,740","368,842","0,74","556,033","3,15",2
5301,"0,53","0,530","0,020","0,25","0,005","1,14","4,13","0,050","2,740","8,130","275,272","0,65","509,407","4,18",2
5302,"0,00","0,000","0,001","0,11","0,008","1,32","11,50","0,070","0,520","7,118","351,555","0,53","374,676","3,64",2
5303,"0,00","0,000","0,002","0,03","0,001","1,96","38,68","0,005","0,022","6,587","22,110","0,6097117496","55,014","0,98",1
5304,"0,00","0,000","0,003","0,04","0,001","1,34","16,49","0,004","0,152","7,161","28,015","0,4006960429","100,929","2,10",1
5305,"0,00","0,000","0,180","0,88","0,030","1,39","2,18","0,030","0,100","6,072","318,228","0,01","431,651","3,69",2
5306,"0,42","0,420","0,090","0,03","0,050","1,97","16,77","0,040","0,030","4,498","351,336","1,43","530,205","3,54",2
5307,"0,00","0,000","0,070","0,01","0,010","0,99","17,38","0,010","0,010","5,913","392,833","0,04","497,790","3,92",2
5308,"0,41","0,410","0,060","0,07","0,040","1,22","0,01","0,040","0,070","7,614","394,891","0,37","498,701","3,13",2
5309,"0,00","0,000","0,006","0,03","0,001","2,41","44,05","0,002","0,126","8,244","28,655","1,429513763","292,496","2,69",1
5310,"0,50","0,500","0,001","0,41","0,002","1,81","16,62","0,000","0,010","11,908","337,231","0,78","487,879","3,84",2
5311,"0,00","0,000","0,005","0,03","0,003","0,18","31,04","0,007","0,116","7,946","2,215","1,293586402","153,326","2,92",1
5312,"0,56","0,560","0,020","0,21","0,001","1,78","18,67","0,060","0,470","6,979","312,983","1,32","304,956","4,05",2
5313,"0,00","0,000","0,004","0,03","0,003","0,94","5,40","0,009","0,022","7,468","1,120","0,1","128,015","1,95",1
5314,"0,00","0,000","1,020","0,70","0,100","1,93","8,28","0,070","2,090","6,336","297,013","1,92","590,907","4,33",2
5315,"1,00","1,000","0,410","0,05","0,010","1,75","8,05","0,090","0,040","6,792","326,125","0,02","321,748","3,44",2
5316,"0,86","0,860","0,290","0,61","0,050","1,47","1,28","0,090","0,050","7,887","309,662","1,67","479,056","3,76",2
5317,"0,00","0,000","0,010","0,04","0,000","0,16","1,70","0,002","0,044","7,632","10,964","0,5309840432","215,935","1,32",1
5318,"0,21","0,210","0,010","0,09","0,020","1,14","0,55","0,030","0,100","8,376","406,329","0,79","329,504","2,69",2
5319,"0,74","0,740","0,020","0,10","0,008","1,90","16,78","0,060","0,290","8,251","353,340","1,47","468,213","5,08",2
5320,"0,74","0,740","0,080","0,01","0,030","0,15","15,13","0,080","0,090","5,822","304,732","1,4","419,534","3,41",2
5321,"0,77","0,770","0,010","0,01","0,010","1,34","10,09","0,010","0,040","7,673","380,576","0,44","468,473","6,74",2
5322,"0,00","0,000","0,008","0,03","0,003","0,11","41,77","0,008","0,197","7,156","19,961","0,09826641014","54,098","3,66",1
5323,"0,00","0,000","0,004","0,01","0,003","0,24","47,96","0,003","0,159","7,939","19,716","1,64847586","197,557","0,22",1
5324,"0,98","0,980","0,200","0,89","0,080","1,07","1,30","0,040","0,090","6,959","345,072","0,1","432,210","4,66",2
5325,"0,63","0,630","0,050","0,90","0,006","1,83","11,40","0,090","0,300","5,730","446,724","0,22","442,546","4,05",2
5326,"0,61","0,610","0,000","0,02","0,090","1,61","12,69","0,080","0,050","7,950","353,012","0,26","415,212","3,79",2
5327,"0,98","0,980","0,040","0,09","0,080","0,04","8,35","0,030","0,040","7,558","362,276","1,89","394,768","3,69",2
5328,"0,00","0,000","0,002","0,03","0,001","0,12","24,15","0,001","0,138","8,324","7,877","1,864206531","54,307","0,38",1
5329,"0,00","0,000","0,001","0,02","0,001","0,17","0,01","0,004","0,087","7,108","38,051","0,04","220,107","4,29",1
5330,"0,15","0,150","0,010","0,10","0,080","1,42","9,65","0,090","0,050","10,852","343,764","0,8","527,688","4,64",2
5331,"0,62","0,620","0,700","0,01","0,030","1,25","11,21","0,080","0,060","10,060","373,572","0,01","531,959","4,03",2
5332,"0,00","0,000","0,008","0,01","0,001","1,02","32,80","0,007","0,011","8,104","26,754","1,299359769","279,164","0,68",1
5333,"0,00","0,000","0,007","0,02","0,002","0,99","9,73","0,009","0,041","7,501","19,591","0,07","94,460","1,10",1
5334,"0,00","0,000","0,002","0,01","0,003","1,73","4,21","0,001","0,184","6,588","34,789","1,48","217,360","2,06",1
5335,"0,97","0,970","0,050","0,43","0,002","1,99","18,78","0,050","0,020","6,263","286,765","0,7","458,367","4,27",2
5336,"0,00","0,000","0,008","0,02","0,002","1,25","12,10","0,008","0,044","6,850","1,362","0,05","227,385","3,02",1
5337,"0,00","0,000","0,008","0,02","0,000","2,17","31,10","0,009","0,005","8,171","5,005","1,289892399","267,866","1,26",1
5338,"0,00","0,000","0,100","0,03","0,050","0,98","9,14","0,100","0,030","7,227","357,329","0,09","485,647","3,94",2
5339,"0,27","0,270","0,700","0,03","0,020","2,43","16,40","0,010","0,290","8,285","415,287","1,11","497,169","3,21",2
5340,"0,00","0,000","0,002","0,03","0,001","0,62","15,99","0,007","0,025","7,582","34,602","0,39","120,252","4,08",1
5341,"0,97","0,970","0,010","0,09","0,060","0,71","13,77","0,010","0,020","6,934","362,490","1,27","285,412","3,31",2
5342,"0,92","0,920","0,020","0,16","0,004","1,20","10,55","0,070","2,970","9,836","339,024","1,43","331,379","3,42",2
5343,"0,00","0,000","0,005","0,01","0,002","0,18","14,25","0,002","0,023","6,815","19,389","0,08","244,974","3,77",1
5344,"0,00","0,000","0,003","0,02","0,001","1,48","48,20","0,008","0,049","7,329","2,644","1,837572905","122,029","2,48",1
5345,"0,00","0,000","0,220","0,68","0,050","1,04","12,83","0,020","1,940","5,198","380,732","0,07","430,935","3,58",2
5346,"0,00","0,000","0,004","0,04","0,002","0,46","16,39","0,005","0,197","7,883","34,322","0,02","211,728","3,68",1
5347,"0,00","0,000","0,003","0,04","0,001","2,39","45,42","0,007","0,131","7,084","31,838","1,327034094","182,100","1,77",1
5348,"0,00","0,000","0,030","0,07","0,080","0,88","6,05","0,040","0,100","8,055","390,807","1,86","310,436","3,39",2
5349,"0,00","0,000","0,005","0,02","0,001","0,53","40,19","0,003","0,026","6,976","10,599","1,640045216","82,981","3,07",1
5350,"0,00","0,000","0,001","0,02","0,001","0,17","1,52","0,004","0,008","8,276","39,241","1,948575809","56,607","0,35",1
5351,"0,00","0,000","0,000","0,07","0,080","2,89","7,46","0,070","0,080","8,206","277,599","0,03","445,701","3,28",2
5352,"0,00","0,000","0,005","0,05","0,002","1,20","15,74","0,006","0,151","8,088","23,249","1,4","79,154","2,35",1
5353,"0,10","0,100","0,040","0,07","0,090","1,09","18,74","0,050","0,080","7,481","369,154","1,05","494,155","5,05",2
5354,"0,63","0,630","0,080","0,04","0,020","1,83","11,40","0,090","0,070","6,186","313,057","0,22","360,648","4,66",2
5355,"0,00","0,000","0,760","0,85","0,060","2,06","6,32","0,030","0,980","7,876","294,260","0,77","507,445","3,08",2
5356,"0,00","0,000","0,009","0,04","0,001","0,57","18,44","0,005","0,032","7,883","2,775","0,7050786942","162,530","2,82",1
5357,"0,29","0,290","0,030","0,47","0,005","1,00","1,51","0,030","2,350","5,192","345,044","0,33","488,141","5,16",2
5358,"0,00","0,000","0,003","0,05","0,002","0,58","14,47","0,005","0,043","8,439","3,655","1,12","96,165","0,35",1
5359,"0,63","0,630","0,020","0,07","0,010","1,94","9,44","0,020","0,010","8,833","356,690","0,08","369,044","3,35",2
5360,"0,97","0,970","0,070","0,07","0,040","1,58","5,59","0,100","0,100","6,277","343,032","0,7","515,387","3,40",2
5361,"0,03","0,030","0,010","0,05","0,070","0,86","13,96","0,090","0,080","5,985","356,886","1,29","532,342","4,42",2
5362,"0,00","0,000","0,003","0,02","0,002","2,34","48,10","0,009","0,051","8,256","29,888","0,8499578484","290,298","0,56",1
5363,"0,00","0,000","0,009","0,04","0,001","1,92","36,39","0,009","0,199","7,671","21,046","1,263520485","197,896","3,10",1
5364,"0,00","0,000","0,003","0,02","0,001","0,52","41,98","0,009","0,083","7,402","34,927","0,2108102384","86,075","2,53",1
5365,"0,00","0,000","0,008","0,01","0,002","2,19","9,13","0,002","0,171","6,834","19,879","0,3340705389","81,827","4,38",1
5366,"0,00","0,000","0,010","0,03","0,002","0,73","10,90","0,002","0,012","7,038","3,532","0,13","153,604","0,04",1
5367,"0,00","0,000","0,007","0,04","0,003","1,96","48,43","0,010","0,062","7,147","21,931","0,468220524","148,338","1,33",1
5368,"0,00","0,000","0,090","0,08","0,070","0,26","7,09","0,040","0,090","4,696","244,795","1,16","351,186","4,40",2
5369,"0,00","0,000","0,004","0,03","0,001","2,20","33,50","0,003","0,027","6,653","16,030","1,208998539","61,225","4,21",1
5370,"0,94","0,940","0,050","0,00","0,070","1,31","4,18","0,030","0,100","7,288","360,414","1,95","467,090","4,40",2
5371,"0,00","0,000","0,004","0,04","0,002","1,28","35,17","0,009","0,129","8,066","20,692","1,687437691","142,226","4,60",1
5372,"0,15","0,150","0,040","0,56","0,001","1,12","18,18","0,100","1,820","5,903","284,946","1,78","268,441","3,39",2
5373,"0,01","0,010","0,006","0,02","0,001","1,28","10,63","0,006","0,099","8,073","11,093","0,99","206,749","3,14",1
5374,"0,02","0,020","0,040","0,22","0,003","1,22","7,10","0,010","3,830","6,420","376,938","1,09","257,963","4,16",2
5375,"0,00","0,000","0,002","0,03","0,000","2,20","36,21","0,005","0,179","6,910","12,225","1,344351485","187,522","2,58",1
5376,"0,32","0,320","0,010","0,04","0,005","1,46","14,66","0,030","0,160","4,856","320,101","0,42","463,647","4,41",2
5377,"0,00","0,000","0,002","0,04","0,001","0,65","9,01","0,006","0,125","7,293","11,738","0,02","61,907","4,25",1
5378,"0,00","0,000","0,002","0,04","0,001","2,29","4,27","0,003","0,131","8,038","7,731","1,99","120,790","2,40",1
5379,"0,00","0,000","0,002","0,05","0,001","0,79","40,37","0,004","0,068","8,313","2,699","1,500334547","63,720","0,99",1
5380,"0,36","0,360","0,840","0,57","0,030","1,22","19,16","0,080","0,030","5,742","369,154","1,38","444,891","3,43",2
5381,"0,80","0,800","0,220","0,89","0,010","1,88","8,41","0,100","0,140","4,902","248,304","0,24","376,525","5,45",2
5382,"0,00","0,000","0,003","0,03","0,003","0,33","3,68","0,006","0,167","7,622","31,985","1,11","84,692","2,94",1
5383,"0,00","0,000","0,008","0,02","0,000","2,27","18,37","0,008","0,055","8,197","14,720","1,408524326","207,861","2,57",1
5384,"0,84","0,840","0,080","0,03","0,060","1,76","4,48","0,070","0,050","6,638","321,686","0,09","289,747","4,14",2
5385,"0,00","0,000","0,003","0,02","0,002","0,84","38,42","0,001","0,017","8,268","1,677","0,4821922342","228,141","2,97",1
5386,"0,15","0,150","0,890","0,66","0,050","1,56","10,22","0,090","0,050","4,253","376,664","0,05","503,253","3,71",2
5387,"0,89","0,890","0,001","0,08","0,007","1,61","2,29","0,010","4,820","5,100","316,779","1,55","536,890","3,09",2
5388,"0,00","0,000","0,006","0,05","0,003","2,46","11,84","0,002","0,059","7,026","16,075","0,6744009255","160,356","2,61",1
5389,"0,92","0,920","0,350","0,27","0,030","1,98","1,35","0,000","0,100","5,428","379,041","0,02","354,440","3,58",2
5390,"0,00","0,000","0,009","0,02","0,002","0,97","13,54","0,010","0,128","8,263","36,452","1,29","261,580","4,82",1
5391,"0,00","0,000","0,003","0,05","0,002","0,70","13,48","0,007","0,030","7,033","10,628","0,02","299,152","1,43",1
5392,"0,00","0,000","0,006","0,01","0,001","0,66","3,82","0,007","0,194","8,500","33,365","0,08","78,085","1,94",1
5393,"0,00","0,000","0,010","0,02","0,001","0,02","38,44","0,005","0,095","8,282","20,929","1,953943342","278,216","3,68",1
5394,"0,01","0,010","0,002","0,03","0,001","0,22","12,19","0,008","0,199","8,055","17,824","0,01","160,770","2,97",1
5395,"0,00","0,000","0,005","0,02","0,003","2,46","1,30","0,010","0,033","7,675","24,538","1,375975227","257,743","1,93",1
5396,"0,00","0,000","0,002","0,04","0,003","2,93","12,69","0,008","0,120","8,326","1,473","1,477425016","161,305","1,50",1
5397,"0,97","0,970","0,050","0,03","0,020","0,71","2,84","0,030","0,010","5,038","341,527","1,77","482,445","4,90",2
5398,"0,00","0,000","0,009","0,01","0,001","2,35","34,80","0,007","0,019","7,149","25,492","1,038732702","233,146","3,56",1
5399,"0,00","0,000","0,005","0,04","0,001","2,92","29,24","0,007","0,075","8,076","19,189","0,999118964","227,843","1,88",1
5400,"0,00","0,000","0,090","0,09","0,090","0,23","6,83","0,020","0,020","9,380","311,188","0,05","447,484","1,49",2
5401,"0,79","0,790","0,040","0,30","0,004","1,77","2,01","0,090","0,050","8,040","353,627","0,43","514,119","3,50",2
5402,"0,00","0,000","0,005","0,02","0,002","1,72","6,79","0,007","0,194","6,554","32,272","1,999012702","72,591","4,67",1
5403,"0,62","0,620","0,020","0,02","0,050","1,15","15,11","0,070","0,090","8,177","295,224","0,08","471,047","4,58",2
5404,"0,00","0,000","0,030","0,03","0,030","0,87","13,73","0,030","0,040","5,916","281,407","1,17","357,711","3,78",2
5405,"0,00","0,000","0,004","0,04","0,001","1,48","17,17","0,008","0,135","8,304","11,243","1,187120232","296,501","0,82",1
5406,"0,00","0,000","0,007","0,01","0,003","0,79","1,41","0,007","0,161","7,995","35,943","1,195313968","232,680","1,04",1
5407,"0,00","0,000","0,007","0,01","0,001","2,17","37,87","0,004","0,084","8,435","6,296","0,3834847933","103,835","2,82",1
5408,"0,00","0,000","0,009","0,04","0,002","0,74","1,40","0,008","0,005","7,216","1,054","1,891792104","89,409","3,21",1
5409,"0,00","0,000","0,006","0,04","0,001","2,30","47,92","0,008","0,026","7,172","16,467","1,755663723","198,231","0,83",1
5410,"0,05","0,050","0,005","0,02","0,001","1,13","5,54","0,007","0,028","8,015","32,213","1,69","226,989","3,20",1
5411,"0,00","0,000","0,010","0,01","0,003","1,06","49,87","0,010","0,030","6,517","21,254","1,577225772","169,229","1,05",1
5412,"0,00","0,000","0,006","0,03","0,003","0,97","4,03","0,002","0,105","8,379","16,384","0,8729180467","259,641","2,03",1
5413,"0,51","0,510","0,050","0,08","0,010","1,20","10,90","0,040","0,060","9,113","305,947","0,3","399,839","3,46",2
5414,"0,00","0,000","0,003","0,03","0,002","0,66","1,93","0,002","0,108","7,349","5,459","1,67","269,352","2,90",1
5415,"0,00","0,000","0,003","0,05","0,000","0,01","16,90","0,002","0,070","7,246","19,722","0,07","133,760","2,70",1
5416,"0,00","0,000","0,080","0,06","0,040","1,35","2,81","0,100","0,010","8,459","390,468","0,04","502,919","3,70",2
5417,"0,77","0,770","0,390","0,56","0,020","2,10","9,13","0,030","0,060","7,243","286,489","1,15","422,017","4,16",2
5418,"0,00","0,000","0,600","0,21","0,080","1,86","18,94","0,060","0,520","4,562","258,313","1,32","459,177","4,68",2
5419,"0,00","0,000","0,002","0,01","0,002","0,56","34,33","0,001","0,130","7,842","17,403","1,91614775","50,660","4,45",1
5420,"0,46","0,460","0,260","0,07","0,060","2,10","17,17","0,030","2,600","9,176","335,217","0,64","430,487","2,36",2
5421,"0,97","0,970","0,070","0,07","0,030","1,07","11,60","0,060","0,080","5,413","340,276","1,58","472,694","3,68",2
5422,"0,00","0,000","0,003","0,05","0,000","2,27","5,40","0,001","0,038","6,978","13,003","1,123861002","220,201","2,69",1
5423,"0,02","0,020","0,005","0,03","0,000","1,82","16,23","0,003","0,065","8,070","36,800","0,99","122,912","0,27",1
5424,"0,00","0,000","0,003","0,04","0,002","1,02","6,83","0,007","0,186","7,668","19,408","0,8339782456","234,546","0,59",1
5425,"0,00","0,000","0,009","0,03","0,000","2,28","26,01","0,009","0,011","6,810","26,343","0,8727811991","196,470","0,98",1
5426,"0,00","0,000","0,005","0,03","0,003","0,86","2,98","0,008","0,108","7,127","13,706","0,03","219,019","1,38",1
5427,"0,00","0,000","0,009","0,04","0,002","2,21","44,18","0,002","0,173","8,001","10,203","1,653286838","181,574","0,37",1
5428,"0,00","0,000","0,003","0,05","0,002","1,54","5,77","0,004","0,190","6,623","5,682","0,3177664501","61,860","1,27",1
5429,"0,00","0,000","0,004","0,01","0,002","0,97","8,91","0,007","0,060","6,725","12,862","1,21","69,690","2,46",1
5430,"0,00","0,000","0,007","0,03","0,002","0,07","12,70","0,006","0,133","7,608","28,411","0,1338020982","254,100","0,99",1
5431,"0,97","0,970","0,050","0,50","0,006","1,07","11,60","0,060","0,060","5,861","259,165","1,58","584,604","4,55",2
5432,"0,00","0,000","0,004","0,02","0,000","2,36","34,31","0,002","0,156","7,135","4,941","0,2970508617","292,810","1,71",1
5433,"0,56","0,560","0,080","0,09","0,020","1,31","3,36","0,050","0,010","9,588","355,689","0,34","528,122","3,97",2
5434,"0,00","0,000","0,005","0,02","0,002","2,53","13,71","0,002","0,065","6,709","27,469","1,245150706","206,895","2,42",1
5435,"0,70","0,700","0,040","0,65","0,009","1,55","2,16","0,100","0,010","3,665","320,556","0,73","437,479","3,55",2
5436,"0,00","0,000","0,002","0,02","0,000","0,35","21,98","0,001","0,064","8,209","28,608","1,561091682","256,814","3,45",1
5437,"0,00","0,000","0,010","0,04","0,002","2,77","45,22","0,002","0,127","6,580","19,776","1,348369153","160,091","0,52",1
5438,"0,00","0,000","0,007","0,02","0,001","0,42","8,96","0,003","0,198","6,975","12,049","0,03","106,746","0,87",1
5439,"0,00","0,000","0,010","0,03","0,002","0,20","33,53","0,008","0,175","8,142","36,183","0,5289170774","70,370","1,70",1
5440,"0,75","0,750","0,040","0,05","0,030","1,99","0,75","0,040","0,070","6,920","332,332","1,77","426,883","3,98",2
5441,"0,91","0,910","0,010","0,02","0,020","1,20","6,38","0,050","0,040","7,340","382,153","0,26","547,467","3,64",2
5442,"0,00","0,000","0,008","0,01","0,002","1,20","44,08","0,006","0,076","7,898","39,687","1,935101759","208,330","3,85",1
5443,"0,00","0,000","0,004","0,02","0,002","1,76","4,71","0,009","0,124","7,773","16,290","0,5407169143","224,119","3,41",1
5444,"0,00","0,000","0,006","0,01","0,001","1,88","34,89","0,005","0,049","7,871","25,552","0,760175809","262,138","2,13",1
5445,"0,05","0,050","0,006","0,04","0,002","0,12","4,26","0,002","0,103","6,624","3,138","0,02","217,023","0,89",1
5446,"0,87","0,870","0,060","0,06","0,000","1,12","9,73","0,020","0,050","6,810","313,127","1,08","363,267","3,03",2
5447,"0,00","0,000","0,008","0,03","0,002","1,49","34,94","0,006","0,071","7,966","31,692","0,4481106317","230,926","1,64",1
5448,"0,00","0,000","0,010","0,04","0,001","0,57","18,85","0,004","0,048","7,268","30,209","1,075780629","292,870","1,66",1
5449,"0,00","0,000","0,006","0,04","0,001","1,28","10,03","0,004","0,131","7,200","39,020","1,32","132,859","2,02",1
5450,"0,00","0,000","0,040","0,10","0,090","0,61","0,90","0,010","0,090","4,334","377,719","0,07","494,155","3,05",2
5451,"0,00","0,000","0,040","0,06","0,040","0,13","3,63","0,060","0,060","7,382","315,180","0,36","535,225","3,68",2
5452,"0,00","0,000","0,003","0,03","0,001","2,40","18,61","0,004","0,163","7,700","36,965","0,9513933972","184,709","0,06",1
5453,"0,00","0,000","0,004","0,05","0,003","0,42","42,94","0,003","0,116","7,624","37,983","0,4788517557","147,220","4,11",1
5454,"0,00","0,000","0,090","0,04","0,000","0,57","1,73","0,040","0,030","6,617","340,246","0,06","345,489","4,09",2
5455,"0,00","0,000","0,020","0,01","0,050","0,14","16,25","0,050","0,040","6,321","334,161","0,44","439,633","3,89",2
5456,"0,00","0,000","0,005","0,02","0,000","2,26","46,80","0,006","0,178","8,436","7,559","1,13573021","252,265","3,44",1
5457,"0,11","0,110","0,090","0,02","0,030","0,37","15,38","0,100","0,090","8,315","347,775","1,42","487,459","3,04",2
5458,"0,00","0,000","0,007","0,01","0,002","2,38","19,56","0,007","0,145","8,275","2,819","1,748021312","110,274","3,53",1
5459,"0,00","0,000","0,002","0,01","0,003","1,89","0,63","0,007","0,165","7,315","17,482","0,4808255356","61,781","1,84",1
5460,"0,00","0,000","0,005","0,02","0,003","2,33","38,61","0,004","0,006","8,495","37,753","1,734931848","274,145","2,22",1
5461,"0,40","0,400","0,040","0,02","0,010","1,44","11,37","0,050","0,040","3,847","241,608","0,17","533,288","4,41",2
5462,"0,00","0,000","0,010","0,04","0,001","0,06","39,13","0,008","0,192","8,359","6,707","0,3493471028","291,650","0,90",1
5463,"0,00","0,000","0,003","0,03","0,001","0,96","13,24","0,003","0,043","6,697","23,997","0,994790015","118,019","4,60",1
5464,"0,00","0,000","0,008","0,02","0,002","0,88","0,54","0,006","0,102","6,503","10,581","0,05","104,781","4,47",1
5465,"0,00","0,000","0,004","0,05","0,001","0,24","44,33","0,005","0,172","7,404","31,033","0,08459864802","139,346","3,53",1
5466,"0,00","0,000","0,050","0,78","0,005","1,43","8,99","0,020","2,100","8,775","381,098","1,18","516,647","3,49",2
5467,"0,90","0,900","0,480","0,46","0,060","1,72","10,19","0,030","3,550","10,087","354,959","0,03","500,939","3,12",2
5468,"0,00","0,000","0,001","0,03","0,000","2,88","34,33","0,006","0,003","7,824","16,101","1,936327951","249,262","2,19",1
5469,"0,00","0,000","0,003","0,02","0,001","1,39","44,76","0,002","0,038","7,272","5,260","1,698868803","144,164","3,90",1
5470,"0,00","0,000","0,005","0,05","0,002","1,25","3,61","0,001","0,119","6,655","1,618","0,7810052098","225,153","2,75",1
5471,"0,00","0,000","0,005","0,03","0,003","1,73","10,61","0,010","0,059","7,791","19,895","1,547840165","201,146","2,12",1
5472,"0,05","0,050","0,005","0,03","0,001","0,45","18,78","0,009","0,054","7,101","12,331","0,1","195,584","1,12",1
5473,"0,00","0,000","0,003","0,02","0,002","1,30","37,43","0,009","0,043","7,751","36,136","0,1415507776","205,406","4,64",1
5474,"0,00","0,000","0,590","0,65","0,100","1,87","9,62","0,030","1,200","8,719","349,985","1,51","512,232","4,07",2
5475,"0,00","0,000","0,007","0,02","0,002","0,26","8,48","0,009","0,168","7,107","27,112","1,37","249,183","1,77",1
5476,"0,00","0,000","0,005","0,02","0,000","2,24","6,87","0,007","0,099","7,283","25,820","0,2493505458","136,316","4,03",1
5477,"0,00","0,000","0,005","0,02","0,002","2,59","19,08","0,003","0,091","7,350","31,006","0,8533660883","250,039","3,77",1
5478,"0,00","0,000","0,004","0,05","0,002","1,77","12,17","0,007","0,185","8,340","25,279","0,5113239702","286,076","1,54",1
5479,"0,00","0,000","0,003","0,03","0,003","0,22","38,68","0,003","0,008","8,098","32,400","0,8770035597","145,063","1,18",1
5480,"0,00","0,000","0,001","0,01","0,000","2,70","43,98","0,007","0,035","8,023","36,283","0,7162056496","142,109","0,14",1
5481,"0,36","0,360","0,470","0,40","0,090","2,01","3,08","0,010","0,050","7,937","324,433","0,53","433,239","3,57",2
5482,"0,00","0,000","0,007","0,01","0,000","1,83","15,86","0,009","0,115","6,757","29,009","0,55","163,189","3,05",1
5483,"0,69","0,690","0,720","0,89","0,050","1,51","8,63","0,020","0,060","8,900","349,748",0,"555,920","4,52",2
5484,"0,09","0,090","0,050","0,46","0,001","1,51","16,17","0,020","0,060","4,851","395,389","0,24","415,625","5,37",2
5485,"0,00","0,000","0,008","0,03","0,002","2,73","47,31","0,002","0,041","7,678","12,280","1,428040661","93,035","2,51",1
5486,"0,96","0,960","0,100","0,10","0,050","1,19","0,92","0,020","0,020","7,706","328,887","1,22","438,866","3,27",2
5487,"0,00","0,000","0,004","0,02","0,002","0,36","6,07","0,008","0,129","7,329","36,696","0,03","62,245","0,90",1
5488,"0,00","0,000","0,070","0,02","0,060","0,66","4,90","0,060","0,070","8,551","399,982","1,38","334,166","4,41",2
5489,"0,00","0,000","0,008","0,04","0,001","1,67","17,03","0,004","0,040","8,238","7,520","0,06","70,178","0,49",1
5490,"0,00","0,000","0,003","0,05","0,001","1,18","27,79","0,001","0,124","7,965","30,090","0,2477425508","260,428","4,29",1
5491,"0,00","0,000","0,006","0,04","0,002","1,37","4,07","0,007","0,155","8,122","32,080","1,46","289,942","4,58",1
5492,"0,00","0,000","0,008","0,03","0,002","0,45","41,45","0,007","0,187","8,439","1,722","1,91091481","265,159","2,95",1
5493,"0,00","0,000","0,020","0,09","0,070","0,52","11,63","0,030","0,050","7,752","302,767","0,03","469,288","5,10",2
5494,"0,00","0,000","0,004","0,01","0,001","1,91","15,23","0,008","0,145","8,308","36,010","0,68","70,874","3,23",1
5495,"0,00","0,000","0,002","0,02","0,003","0,88","4,48","0,009","0,069","7,551","6,970","0,5","100,221","2,89",1
5496,"0,11","0,110","0,040","0,06","0,030","1,80","15,41","0,090","0,100","7,339","351,573","0,81","448,846","3,46",2
5497,"0,74","0,740","0,100","0,05","0,070","1,95","13,04","0,060","0,060","9,076","371,405","0,05","379,138","3,14",2
5498,"0,00","0,000","0,001","0,05","0,000","2,84","39,77","0,009","0,067","8,215","12,958","0,08585307216","163,918","2,89",1
5499,"0,00","0,000","0,002","0,03","0,001","0,49","1,20","0,002","0,155","8,006","36,797","0,05","144,658","4,87",1
5500,"0,00","0,000","0,003","0,01","0,003","0,88","41,89","0,006","0,145","7,478","3,737","1,35841407","68,343","4,71",1
5501,"0,00","0,000","0,010","0,02","0,001","2,65","19,89","0,006","0,047","8,160","13,965","1,54922623","227,968","0,74",1
5502,"0,00","0,000","0,010","0,01","0,002","1,62","10,67","0,005","0,019","7,837","37,332","1,69","177,300","2,57",1
5503,"0,02","0,020","0,004","0,03","0,002","0,42","16,23","0,005","0,044","7,294","22,223","0,07","163,365","1,29",1
5504,"0,00","0,000","0,410","0,43","0,110","1,75","10,85","0,060","4,760","5,118","276,278","1,83","421,625","4,31",2
5505,"0,67","0,670","0,030","0,23","0,004","1,24","5,21","0,080","0,090","7,302","366,202","1,27","503,522","3,61",2
5506,"0,00","0,000","0,008","0,01","0,001","0,84","25,12","0,008","0,014","8,419","38,958","0,2416905492","266,379","1,15",1
5507,"0,00","0,000","0,001","0,02","0,002","0,88","28,89","0,002","0,165","6,765","15,062","1,322710617","143,364","3,40",1
5508,"0,00","0,000","0,003","0,01","0,002","2,90","34,25","0,006","0,171","6,749","30,604","0,877796703","178,534","0,36",1
